0.000000414________0,001354594
8,83___0,000174215
8,84___0,000173166
8,85___0,000172249
8,86___0,000171495
8,87___0,000170859
8,88____0,00017032
8,89___0,000169897
8,9___0,000169637
8,91___0,000169638
8,92___0,000169642
8,93___0,000169648
8,94___0,000169656
8,95___0,000169852
8,96___0,000170312
8,97___0,000170924
8,98___0,000171574
8,99___0,000172293
9___0,000173176
9,01___0,000174177
9,02___0,000175252
9,03___0,000176415
9,04___0,000177716
9,05___0,000179126
9,06___0,000180618
9,07___0,000182202
9,08___0,000183915
9,09___0,000185725
9,1___0,000187598
9,11___0,000189571
9,12___0,000191667
9,13____0,00019383
9,14___0,000196065
9,15___0,000198377
9,16___0,000200772
9,17____0,00020323
9,18___0,000205733
9,19___0,000208272
9,2___0,000210871
9,21___0,000213512
9,22___0,000216173
9,23___0,000218844
9,24___0,000221545
9,25___0,000224261
9,26___0,000226974
9,27___0,000229668
9,28___0,000232359
9,29___0,000235042
9,3___0,000237706
9,31___0,000240339
9,32___0,000242928
9,33___0,000245478
9,34___0,000247986
9,35___0,000250418
9,36___0,000252807
9,37___0,000255146
9,38___0,000257411
9,39___0,000259581
9,4___0,000261688
9,41___0,000263726
9,42___0,000265668
9,43___0,000267488
9,44____0,00026923
9,45___0,000270891
9,46___0,000272431
9,47___0,000273815
9,48___0,000275088
9,49___0,000276271
9,5___0,000277333
9,51___0,000278246
9,52___0,000279025
9,53___0,000279643
9,54___0,000280176
9,55___0,000280448
9,56___0,000280442
9,57___0,000280424
9,58___0,000280395
9,59___0,000280357
9,6___0,000280142
9,61___0,000279625
9,62___0,000278928
9,63___0,000278179
9,64___0,000277373
9,65___0,000276391
9,66___0,000275279
9,67___0,000274087
9,68___0,000272815
9,69___0,000271404
9,7___0,000269881
9,71____0,00026828
9,72___0,000266599
9,73___0,000264794
9,74______0,0002629
9,75___0,000260957
9,76____0,00025889
9,77___0,000256756
9,78___0,000254574
9,79___0,000252347
9,8___0,000250073
9,81___0,000247735
9,82___0,000245356
9,83___0,000242962
9,84____0,00024057
9,85___0,000238153
9,86___0,000235728
9,87___0,000233323
9,88___0,000230953
9,89___0,000228592
9,9___0,000226255
9,91___0,000223972
9,92___0,000221766
9,93___0,000219618
9,94___0,000217525
9,95___0,000215489
9,96___0,000213528
9,97___0,000211711
9,98___0,000209948
9,99___0,000208255
10___0,000206646
10,01___0,000205115
10,02___0,000203646
10,03___0,000202229
10,04___0,000200852
10,05___0,000199525
10,06___0,000198241
10,07___0,000196983
10,08___0,000195735
10,09___0,000194508
10,1___0,000193303
10,11___0,000192099
10,12___0,000190879
10,13____0,00018965
10,14___0,000188417
10,15___0,000187162
10,16___0,000185869
10,17___0,000184529
10,18___0,000183151
10,19___0,000181737
10,2___0,000180288
10,21___0,000178734
10,22____0,00017714
10,23___0,000175497
10,24___0,000173798
10,25___0,000172032
10,26___0,000170199
10,27___0,000168306
10,28____0,00016636
10,29___0,000164361
10,3___0,000162298
10,31___0,000160178
10,32___0,000158006
10,33___0,000155782
10,34___0,000153498
10,35___0,000151158
10,36___0,000148769
10,37____0,00014633
10,38___0,000143826
10,39___0,000141273
10,4___0,000138687
10,41___0,000136026
10,42___0,000133321
10,43___0,000130583
10,44___0,000127807
10,45____0,00012499
10,46___0,000122127
10,47___0,000119225
10,48___0,000116294
10,49___0,000113342
10,5___0,000110357
10,51___0,000107345
10,52___0,000104314
10,53___0,000101272
10,54______9,821E-05
10,55___9,51313E-05
10,56___9,20441E-05
10,57___8,89558E-05
10,58___8,58602E-05
10,59___8,27594E-05
10,6___7,96602E-05
10,61___7,65658E-05
10,62___7,34753E-05
10,63___7,03873E-05
10,64___6,73019E-05
10,65___6,42194E-05
10,66___6,11401E-05
10,67___5,80638E-05
10,68___5,49898E-05
10,69___5,19175E-05
10,7___4,88474E-05
10,71___4,57795E-05
10,72___4,27132E-05
10,73_____3,9648E-05
10,74___3,65841E-05
10,75___3,35216E-05
10,76___3,04601E-05
10,77_____2,7399E-05
10,78___2,43384E-05
10,79___2,12784E-05
10,8___1,82186E-05
10,81___1,51588E-05
10,82___1,20986E-05
10,83___9,03833E-06
10,84___5,97752E-06
10,85___2,91567E-06
